stationid,longitude,latitude,eveningendpct,eveningstartpct,morningendpct,morningstartpct
211,-0.158105,51.494645,0.000307685,0.000560188,0.000663894,0.000178856
212,-0.199004,51.506584,0.000285569,0.000225664,8.88914E-05,0.000190022
213,-0.149569,51.50274,0.00166038,0.002026467,0.001372879,0.000457125
214,-0.130504,51.526838,0.002223789,0.000866584,0.000461634,0.001834728
216,-0.18119,51.490945,0.000841248,0.000533778,0.000314126,0.000668403
217,-0.082422,51.516154,0.003214262,0.003269659,0.003477716,0.002954459
218,-0.170194,51.489716,0.000486756,0.000820206,0.000727879,0.000269036
219,-0.190393,51.490163,0.000940875,0.000551385,0.000201187,0.000799808
220,-0.166485,51.490664,0.000328297,0.000406023,0.000384981,0.000280416
221,-0.130458,51.494816,0.000580586,0.001330795,0.001200249,0.000381331
222,-0.155349,51.502757,0.000265171,0.000474517,0.00017993,6.67759E-05
223,-0.09022,51.491484,0.000810114,0.000328941,7.77263E-05,0.001028049
224,-0.188129,51.514769,0.000965782,0.00058853,0.000173274,0.000537428
225,-0.196422,51.509353,0.001072065,0.001220217,0.000901153,0.000969861
226,-0.131961,51.508446,0.000529698,0.001148503,0.001005074,0.000100486
227,-0.11548,51.528915,0.000768245,0.000417189,0.000240909,0.000825574
228,-0.134621,51.507424,0.001209052,0.002718059,0.003137824,0.000338818
229,-0.123179,51.506543,0.001744763,0.002045576,0.002039564,0.001006792
230,-0.103137,51.506692,0.000833733,0.001214205,0.001175986,0.000672268
231,-0.178732,51.493967,0.000390564,0.000525189,0.000469364,0.000228455
232,-0.112753,51.51501,0.000129258,0.00071972,0.000746774,3.5213E-05
233,-0.130699,51.50777,0.001035349,0.001388768,0.001016025,0.000170912
234,-0.106992,51.534504,0.001353984,0.000838671,0.000248209,0.000815912
235,-0.110889,51.495718,0.000705764,0.000397435,0.000115945,0.000815053
236,-0.073438,51.51838,0.000400441,0.00065187,0.000665397,0.000280845
237,-0.068161,51.509786,0.000740977,0.00082493,0.00072337,0.00067098
238,-0.175116,51.523353,0.000266889,0.000237473,0.000103492,0.000279987
239,-0.138019,51.524438,0.000977376,0.001410668,0.001366867,0.000717788
240,-0.105692,51.505459,0.000374675,0.000391208,0.000429212,0.00030017
242,-0.151359,51.522008,0.000465499,0.000732173,0.0006523,0.000389276
243,-0.139625,51.490962,0.0009106,0.00044639,0.000197107,0.000862505
244,-0.128585,51.516118,0.000620522,0.001126817,0.000904588,0.000165115
245,-0.142207,51.485357,0.000433721,0.000293943,8.67443E-05,0.000407312
246,-0.099994,51.522853,0.000832874,0.002359058,0.002563036,0.000718646
247,-0.168314,51.530052,0.000305967,0.00025873,6.03345E-05,0.000304464
248,-0.170279,51.506451,0.00210634,0.002341022,0.000470223,0.000490191
249,-0.096191,51.498597,0.000386484,0.000274619,0.00017993,0.000287072
250,-0.162727,51.489932,0.000338389,0.000470437,0.000300384,0.000139779
251,-0.079249,51.518908,0.002281547,0.003435417,0.003477287,0.001088598
252,-0.116542,51.504636,0.001255001,0.000694813,0.000526478,0.000646717
253,-0.086379,51.534042,0.001006792,0.000573285,0.000282993,0.001290214
254,-0.106408,51.530515,0.00091103,0.000947961,0.000805176,0.000959984
255,-0.179592,51.525575,0.000837598,0.000309832,9.55475E-05,0.000810973
256,-0.116764,51.51362,0.000139134,0.000549452,0.000623314,5.11018E-05
257,-0.154907,51.522481,0.000509301,0.000448537,0.000278913,0.000312194
258,-0.178656,51.501432,0.000299525,0.000558255,0.000314985,5.56108E-05
260,-0.13558,51.513684,0.000738185,0.001227732,0.001024613,0.000296949
261,-0.191351,51.513489,0.000324218,0.000182721,6.57024E-05,0.000424918
262,-0.103132,51.498744,0.000366946,0.00044961,0.000441881,0.000477523
263,-0.08066,51.514225,0.00071242,0.001399074,0.001363646,0.000511877
264,-0.109256,51.526443,0.001062403,0.00129687,0.001057035,0.000710273
265,-0.169249,51.515953,0.00096342,0.000501356,0.000237903,0.000785637
266,-0.180246,51.501026,0.000366731,0.001004645,0.000917686,0.000169409
267,-0.132224,51.49206,0.000529269,0.000502215,0.000502859,0.000611934
268,-0.144132,51.493204,0.00138705,0.000799808,0.000695243,0.001620014
